"7,8,9월",평균기온,강수량mm,합계전천일사량(MJ/㎡),평균상대습도(%),평균풍속(m/s),PHU
 1993-08,23.2,365.0666667,389.3833333,84.66666667,5.6,34.14
 1994-08,26,216.6333333,644.4333333,82.66666667,6.1,39.03
 1995-08,25,419.7333333,511.9733333,84,5.466666667,37.351
 1996-08,25,156.7333333,461.88,82.66666667,4.766666667,37.378
 1997-08,24.83333333,183.7,464.4666667,82.66666667,6.366666667,37
 1998-08,26.03333333,368.1333333,561.2,86.33333333,5.966666667,39.34
 1999-08,24.3,697.5,403.0566667,89.33333333,5.733333333,36.37
 2000-08,25.46666667,247.2333333,573.1266667,82.66666667,5.766666667,38.17
 2001-08,25.5,245.0666667,600.3233333,77.66666667,5.533333333,38.4
 2002-08,24.3,370.7,514.21,86.66666667,5.733333333,36.208
 2003-08,25.1,384.3,473.4933333,87.66666667,5.4,37.747
 2004-08,25.9,341.6666667,563.2433333,83.33333333,5.8,39.13
 2005-08,25.8,231.3333333,522.8133333,85.33333333,5.333333333,38.99
 2006-08,24.93333333,291.5,510.21,82.33333333,5.233333333,37.36
 2007-08,25.53333333,636,549.25,83,5.2,38.435
 2008-08,25.56666667,278.7,572.78,80.33333333,4.633333333,38.53
 2009-08,24.66666667,244.1,565.4766667,77,4.766666667,36.847
 2010-08,26.1,328.5333333,568.07,84.66666667,5.2,39.52
 2011-08,25.33333333,221.9,606.4866667,83,5.266666667,38.28
 2012-08,25.26666667,544.3666667,580.6366667,92,5.1,38.04
 2013-08,26.66666667,110.4666667,612.64,83,5.166666667,40.47
 2014-08,24.46666667,389.6,433.18,87,5,36.48
 2015-08,24.36666667,313.5,539.5166667,85.33333333,4.6,36.39
 2016-08,26,216.7333333,536.3233333,85.66666667,4.566666667,39.214
 2017-08,26.56666667,322.5333333,550.1433333,86,5.066666667,40.47
 2018-08,26.06666667,315.6666667,546.8233333,90,5.333333333,39.48
