Aug,insolation
 1980-08,701.75
 1981-08,1054.43
 1982-08,572.33
 1983-08,486.04
 1984-08,548.76
 1985-08,557.11
 1986-08,572.22
 1987-08,501.6
 1988-08,588.09
 1989-08,524.67
 1990-08,660.71
 1991-08,523.38
 1992-08,426.05
 1993-08,362.44
 1994-08,659.15
 1995-08,601.83
 1996-08,479.78
 1997-08,451.56
 1998-08,627.19
 1999-08,424.4
 2000-08,632.7
 2001-08,603.1
 2002-08,486.37
 2003-08,515.46
 2004-08,589.97
 2005-08,559.19
 2006-08,596.54
 2007-08,661.13
 2008-08,591.4
 2009-08,608.99
 2010-08,613.5
 2011-08,520.98
 2012-08,633.44
 2013-08,662.33
 2014-08,402.01
 2015-08,530.07
 2016-08,631.34
 2017-08,619.22
 2018-08,613.7
