출하지역,계,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월
계,281294.22,0.00,0.00,390.84,40519.45,63158.45,80396.72,83636.70,13044.28,147.80,0.00,0.00,0.00
서울,79995.45,0.00,0.00,135.01,11878.11,18009.57,22858.59,23192.16,3885.41,36.60,0.00,0.00,0.00
부산,22309.42,0.00,0.00,41.20,3414.86,4511.47,6083.41,7063.42,1160.09,34.98,0.00,0.00,0.00
대구,22490.76,0.00,0.00,44.61,3226.78,4733.24,6362.16,7029.82,1091.76,2.40,0.00,0.00,0.00
인천,11774.56,0.00,0.00,21.91,1822.11,2668.85,3254.38,3496.83,502.69,7.80,0.00,0.00,0.00
광주,15923.47,0.00,0.00,20.36,2112.20,3008.99,4567.56,5339.89,854.44,20.03,0.00,0.00,0.00
대전,12640.81,0.00,0.00,15.25,1891.65,2664.75,3540.53,3849.91,671.35,7.37,0.00,0.00,0.00
울산,5313.47,0.00,0.00,0.00,702.69,1000.28,1444.37,1726.14,420.29,19.70,0.00,0.00,0.00
경기,49516.44,0.00,0.00,42.10,6950.30,13432.59,14830.10,12788.82,1459.26,13.28,0.00,0.00,0.00
강원,3878.25,0.00,0.00,7.46,544.64,822.04,1128.89,1232.50,142.73,0.00,0.00,0.00,0.00
충북,8274.30,0.00,0.00,1.40,1207.63,1910.86,2309.93,2423.73,420.76,0.00,0.00,0.00,0.00
충남,6503.47,0.00,0.00,8.05,990.65,1426.13,1905.91,1891.15,280.48,1.10,0.00,0.00,0.00
전북,8492.84,0.00,0.00,6.50,1191.54,1795.14,2304.72,2788.89,406.05,0.00,0.00,0.00,0.00
전남,6962.66,0.00,0.00,18.15,915.59,1411.35,1921.27,2363.17,333.13,0.00,0.00,0.00,0.00
경북,9836.40,0.00,0.00,17.00,1171.09,1801.19,2827.18,3434.05,585.89,0.00,0.00,0.00,0.00
경남,17381.93,0.00,0.00,11.85,2499.62,3962.01,5057.71,5016.22,829.94,4.56,0.00,0.00,0.00
