출하지역,계,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월
계,16655.76,0.00,0.00,0.00,0.00,31.88,831.17,5661.11,8117.30,2012.51,1.81,0.00
서울,4563.74,0.00,0.00,0.00,0.00,22.68,378.21,1296.04,2210.73,656.06,0.03,0.00
부산,1341.61,0.00,0.00,0.00,0.00,0.00,46.18,426.29,637.75,231.39,0.00,0.00
대구,1647.74,0.00,0.00,0.00,0.00,0.78,49.91,596.34,809.43,191.27,0.00,0.00
인천,238.23,0.00,0.00,0.00,0.00,0.00,0.09,41.67,167.27,29.20,0.00,0.00
광주,670.14,0.00,0.00,0.00,0.00,0.25,14.10,219.63,381.08,55.09,0.00,0.00
대전,584.13,0.00,0.00,0.00,0.00,0.00,18.14,94.56,401.64,69.80,0.00,0.00
울산,331.05,0.00,0.00,0.00,0.00,0.00,3.88,93.58,187.17,46.42,0.00,0.00
경기,5117.82,0.00,0.00,0.00,0.00,6.67,279.76,2192.90,2138.66,498.05,1.78,0.00
강원,44.44,0.00,0.00,0.00,0.00,1.50,1.40,12.72,28.71,0.12,0.00,0.00
충북,254.74,0.00,0.00,0.00,0.00,0.00,6.65,60.66,172.62,14.82,0.00,0.00
충남,276.72,0.00,0.00,0.00,0.00,0.00,5.11,89.89,157.19,24.53,0.00,0.00
전북,196.29,0.00,0.00,0.00,0.00,0.00,4.59,74.64,105.77,11.29,0.00,0.00
전남,191.15,0.00,0.00,0.00,0.00,0.00,3.09,46.09,122.96,19.01,0.00,0.00
경북,392.81,0.00,0.00,0.00,0.00,0.00,14.75,177.90,177.05,23.11,0.00,0.00
경남,805.14,0.00,0.00,0.00,0.00,0.00,5.31,238.20,419.27,142.37,0.00,0.00
